,Start,End
97,2018-08-16 15:58:03.689982,2018-08-16 15:58:03.737587
98,2018-08-16 15:58:03.785794,2018-08-16 15:58:03.835862
99,2018-08-16 15:58:03.882962,2018-08-16 15:58:03.942005
100,2018-08-16 15:58:03.992601,2018-08-16 15:58:04.038620
101,2018-08-16 15:58:04.090700,2018-08-16 15:58:04.139739
102,2018-08-16 15:58:04.187669,2018-08-16 15:58:04.232878
103,2018-08-16 15:58:04.278937,2018-08-16 15:58:04.329340
104,2018-08-16 15:58:04.375910,2018-08-16 15:58:04.422965
105,2018-08-16 15:58:04.468584,2018-08-16 15:58:04.494604
106,2018-08-16 15:58:08.557335,2018-08-16 15:58:08.575315
107,2018-08-16 15:58:08.622429,2018-08-16 15:58:08.672508
108,2018-08-16 15:58:08.724653,2018-08-16 15:58:08.771723
109,2018-08-16 15:58:08.820306,2018-08-16 15:58:08.867175
110,2018-08-16 15:58:08.913745,2018-08-16 15:58:08.961812
111,2018-08-16 15:58:09.010399,2018-08-16 15:58:09.056507
112,2018-08-16 15:58:09.105580,2018-08-16 15:58:09.151192
113,2018-08-16 15:58:09.197767,2018-08-16 15:58:09.242841
114,2018-08-16 15:58:09.289396,2018-08-16 15:58:09.337922
115,2018-08-16 15:58:09.384971,2018-08-16 15:58:09.429023
116,2018-08-16 15:58:09.473152,2018-08-16 15:58:09.520180
117,2018-08-16 15:58:09.567675,2018-08-16 15:58:09.613292
118,2018-08-16 15:58:09.661929,2018-08-16 15:58:09.712463
119,2018-08-16 15:58:09.756748,2018-08-16 15:58:09.801483
120,2018-08-16 15:58:09.847961,2018-08-16 15:58:09.878480
121,2018-08-16 15:58:10.871975,2018-08-16 15:58:10.888988
122,2018-08-16 15:58:10.937504,2018-08-16 15:58:10.985272
123,2018-08-16 15:58:11.029374,2018-08-16 15:58:11.075144
124,2018-08-16 15:58:11.122774,2018-08-16 15:58:11.170518
125,2018-08-16 15:58:11.217174,2018-08-16 15:58:11.267252
126,2018-08-16 15:58:11.314849,2018-08-16 15:58:11.362911
127,2018-08-16 15:58:11.409520,2018-08-16 15:58:11.457515
128,2018-08-16 15:58:11.504218,2018-08-16 15:58:11.548304
129,2018-08-16 15:58:11.596567,2018-08-16 15:58:11.645195
130,2018-08-16 15:58:11.694734,2018-08-16 15:58:11.740334
131,2018-08-16 15:58:11.787285,2018-08-16 15:58:11.837017
132,2018-08-16 15:58:11.886886,2018-08-16 15:58:11.930683
133,2018-08-16 15:58:11.976716,2018-08-16 15:58:12.020849
